item	itemLabel	icao	countryLabel	loc
http://www.wikidata.org/entity/Q3565474	Nampong Air Force Base	VYNP	Myanmar	Point(97.283333 25.35)
http://www.wikidata.org/entity/Q3565474	Nampong Air Force Base	VYNP	Myanmar	Point(97.29488333 25.35256667)
http://www.wikidata.org/entity/Q3565572	MOD St Athan	EGSY	United Kingdom	Point(-3.435833333 51.404722222)
http://www.wikidata.org/entity/Q3565572	MOD St Athan	EGDX	United Kingdom	Point(-3.435833333 51.404722222)
http://www.wikidata.org/entity/Q3565614	Michurinsk	XUWM	Russia	Point(40.365 52.91833333)
http://www.wikidata.org/entity/Q3566434	MoD Boscombe Down	EGDM	United Kingdom	Point(-1.7475 51.152222222)
http://www.wikidata.org/entity/Q3612309	Moore Army Airfield	KAYE	United States of America	Point(-71.6033 42.5717)
http://www.wikidata.org/entity/Q3612693	Montgomery Air National Guard Base	KMGM	United States of America	Point(-86.3939 32.3006)
http://www.wikidata.org/entity/Q3635552	Comiso Airbase	LICB	Italy	Point(14.6069 36.9917)
http://www.wikidata.org/entity/Q3696011	Gurha Salim Airport	ICAO	Pakistan	Point(73.608055555 32.876666666)
http://www.wikidata.org/entity/Q3696026	PAF Base Minhas	OPMS	Pakistan	Point(72.400833333 33.868888888)
http://www.wikidata.org/entity/Q3791994	idroscalo di Marsala Stagnone	LIFM	Italy	Point(12.454166666 37.813055555)
http://www.wikidata.org/entity/Q3813457	Boufarik Airport	DAAK	Algeria	Point(2.87611 36.545833)
http://www.wikidata.org/entity/Q3813579	Borisoglebsk	XUOB	Russia	Point(42.18305556 51.36666667)
http://www.wikidata.org/entity/Q3850219	Roosevelt Roads Naval Station	TJNR	United States of America	Point(-65.64342 18.245113)
http://www.wikidata.org/entity/Q3885002	Bullen Point Short Range Radar Site	PABU	United States of America	Point(-146.836111111 70.172777777)
http://www.wikidata.org/entity/Q3886454	Bucholz Army Airfield	PKWA	Marshall Islands	Point(167.731666666 8.72)
http://www.wikidata.org/entity/Q3886916	Hanchey Army Heliport	KHEY	United States of America	Point(-85.654444 31.346111)
http://www.wikidata.org/entity/Q3887249	Heriberto Gíl Martínez Airport	SKUL	Colombia	Point(-76.22391667 4.094488889)
http://www.wikidata.org/entity/Q3887249	Heriberto Gíl Martínez Airport	SKUL	Colombia	Point(-76.22393333 4.09450278)
http://www.wikidata.org/entity/Q3887249	Heriberto Gíl Martínez Airport	SKUL	Colombia	Point(-76.226112 4.0975)
http://www.wikidata.org/entity/Q3887266	Bundaberg Airport	YBUD	Australia	Point(152.318611111 -24.903888888)
http://www.wikidata.org/entity/Q3913079	Dunkeswell Aerodrome	EGTU	United Kingdom	Point(-3.234722222 50.86)
http://www.wikidata.org/entity/Q3913284	Grayling Army Airfield	KGOV	United States of America	Point(-84.728888888 44.680277777)
http://www.wikidata.org/entity/Q3913389	Hakimpet Air Force Station	VOHK	India	Point(78.3129 17.3312)
http://www.wikidata.org/entity/Q3913647	Stapleford Aerodrome	EGSG	United Kingdom	Point(0.156111111 51.6525)
http://www.wikidata.org/entity/Q3913666	Sleap Airfield	EGCV	United Kingdom	Point(-2.770277777 52.834722222)
http://www.wikidata.org/entity/Q3914095	Sherburn-in-Elmet Airfield	EGCJ	United Kingdom	Point(-1.217777777 53.784166666)
http://www.wikidata.org/entity/Q3914182	Turweston Aerodrome	EGBT	United Kingdom	Point(-1.095555555 52.040833333)
http://www.wikidata.org/entity/Q3914269	Lashenden (Headcorn) Airfield	EGKH	United Kingdom	Point(0.6425 51.1567)
http://www.wikidata.org/entity/Q3914434	Haapsalu Airfield	EEHU	Estonia	Point(23.488333333 58.911666666)
http://www.wikidata.org/entity/Q3914569	Graf Ignatievo Air Base	LBPG	Bulgaria	Point(24.713888888 42.290277777)
http://www.wikidata.org/entity/Q3914634	H-4 Air Base	OJHR	Jordan	Point(38.195 32.5392)
http://www.wikidata.org/entity/Q3914661	Fairoaks Airport	EGTF	United Kingdom	Point(-0.558611111 51.348055555)
http://www.wikidata.org/entity/Q3914747	Redhill Aerodrome	EGKR	United Kingdom	Point(-0.138611111 51.213611111)
http://www.wikidata.org/entity/Q3914750	White Waltham Airfield	EGLM	United Kingdom	Point(-0.774444444 51.500833333)
http://www.wikidata.org/entity/Q3914827	Warton Aerodrome	EGNO	United Kingdom	Point(-2.883888888 53.745)
http://www.wikidata.org/entity/Q3915010	Perth Airport	EGPT	United Kingdom	Point(-3.372222222 56.439166666)
http://www.wikidata.org/entity/Q3915068	Lasham Airfield	EGHL	United Kingdom	Point(-1.03361 51.1872)
http://www.wikidata.org/entity/Q3915169	Shobdon Aerodrome	EGBS	United Kingdom	Point(-2.881111111 52.241666666)
http://www.wikidata.org/entity/Q3915612	Old Sarum Airfield	EGLS	United Kingdom	Point(-1.784166666 51.098888888)
http://www.wikidata.org/entity/Q3915757	Aberporth Airport	EGFA	United Kingdom	Point(-4.559444444 52.114722222)
http://www.wikidata.org/entity/Q3915777	Rochester Airport	EGTO	United Kingdom	Point(0.502777777 51.351944444)
http://www.wikidata.org/entity/Q4055737	Gvardeyskoye Air Base	UKFG	Ukraine	Point(33.99166667 45.10833333)
http://www.wikidata.org/entity/Q4062227	Ali Air Base	ORTL	Iraq	Point(46.09011111 30.93575833)
http://www.wikidata.org/entity/Q4115006	Tan Son Nhut Air Base	VVTS	Vietnam	Point(106.651944444 10.818888888)
http://www.wikidata.org/entity/Q4115518	Ali Al Salem Air Base	OKAS	Kuwait	Point(47.520555555 29.346666666)
http://www.wikidata.org/entity/Q4116941	Prince Sultan Air Base	OEPS	Saudi Arabia	Point(47.580277777 24.0625)
http://www.wikidata.org/entity/Q4118296	Riyadh Air Base	OERY	Saudi Arabia	Point(46.725277777 24.709722222)
http://www.wikidata.org/entity/Q4118296	Riyadh Air Base	OERY	Saudi Arabia	Point(46.720833 24.7175)
http://www.wikidata.org/entity/Q4120040	RAF Cosford	EGWC	United Kingdom	Point(-2.305555555 52.64)
http://www.wikidata.org/entity/Q4177405	Malacky Air Base	LZMC	Slovakia	Point(17.118333333 48.401944444)
http://www.wikidata.org/entity/Q4224052	Klokovo	UUBT	Russia	Point(37.60666667 54.23666667)
http://www.wikidata.org/entity/Q4251256	Kyurdamir Air Base	UB14	Azerbaijan	Point(48.163333333 40.273333333)
http://www.wikidata.org/entity/Q4303113	Morozovsk airbase	URRM	Russia	Point(41.78333333 48.31666667)
http://www.wikidata.org/entity/Q4310672	Novofedorivka	URFI	Ukraine	Point(33.5825 45.0825)
http://www.wikidata.org/entity/Q4310672	Novofedorivka	URFI	Ukraine	Point(33.586111111 45.088888888)
http://www.wikidata.org/entity/Q4337257	La Orchila Airport	SVLO	Venezuela	Point(-66.18055556 11.80833333)
http://www.wikidata.org/entity/Q4337257	La Orchila Airport	SVLO	Venezuela	Point(-66.17921 11.80882)
http://www.wikidata.org/entity/Q4377735	Pribylovo airbase	XLLY	Russia	Point(28.7416 60.4535)
http://www.wikidata.org/entity/Q4377735	Pribylovo airbase	XLLY	Russia	Point(28.745 60.459166666)
http://www.wikidata.org/entity/Q4380750	Bodø Main Air Station	ENBO	Norway	Point(14.365277777 67.269166666)
http://www.wikidata.org/entity/Q4381026	Zaragoza Air Base	LEZG	Spain	Point(-1.041666666 41.666111111)
http://www.wikidata.org/entity/Q4392259	Ie Shima Airfield	RODE	Japan	Point(127.76222 26.72861)
http://www.wikidata.org/entity/Q4392259	Ie Shima Airfield	RODE	Japan	Point(127.77799444 26.72311111)
http://www.wikidata.org/entity/Q4402324	Takhli Royal Thai Air Force Base	VTPI	Thailand	Point(100.292 15.2681)
http://www.wikidata.org/entity/Q4403746	Savatiya	ULKS	Russia	Point(46.87 60.995)
http://www.wikidata.org/entity/Q4415721	Semyazino Airport	UUBL	Russia	Point(40.315 56.126666666)
http://www.wikidata.org/entity/Q4418135	Seshcha (air base)	UHVD	Russia	Point(33.33888889 53.71527778)
http://www.wikidata.org/entity/Q4458055	Tiraspol Airport	LUTR	Moldova	Point(29.58444444 46.8725)
http://www.wikidata.org/entity/Q4479287	Usharal aerodrome	UAAL	Kazakhstan	Point(80.83138889 46.19027778)
http://www.wikidata.org/entity/Q4482254	Fedotovo airbase	XLWF	Russia	Point(39.12333333 59.18833333)
http://www.wikidata.org/entity/Q4519462	Shaykovka	XUBQ	Russia	Point(34.37166667 54.22666667)
http://www.wikidata.org/entity/Q4582023	Ahmed Al Jaber Air Base	OKAJ	Kuwait	Point(47.791972222 28.934916666)
http://www.wikidata.org/entity/Q4631351	22nd Air Base	EPMB	Poland	Point(19.1364 54.0267)
http://www.wikidata.org/entity/Q4634896	31st Tactical Air Base	EPKS	Poland	Point(16.9654 52.3303)
http://www.wikidata.org/entity/Q4647271	A.P. Hill Army Airfield	KAPH	United States of America	Point(-77.3183 38.0689)
http://www.wikidata.org/entity/Q4651413	AFB Durban	FADN	South Africa	Point(30.947777777 -29.968611111)
http://www.wikidata.org/entity/Q4651415	AFB Bloemspruit	FABL	South Africa	Point(26.303888888 -29.093888888)
http://www.wikidata.org/entity/Q4651416	Air Force Base Hoedspruit	FAHS	South Africa	Point(31.050277777 -24.354722222)
http://www.wikidata.org/entity/Q4651416	Air Force Base Hoedspruit	FAHS	South Africa	Point(31.0504 -24.35462)
http://www.wikidata.org/entity/Q4651418	AFB Makhado	FALM	South Africa	Point(29.696666666 -23.16)
http://www.wikidata.org/entity/Q4651418	AFB Makhado	FALM	South Africa	Point(29.701503 -23.159453)
http://www.wikidata.org/entity/Q4651419	AFB Overberg	FAOB	South Africa	Point(20.249122 -34.558117)
http://www.wikidata.org/entity/Q4651419	AFB Overberg	FAOB	South Africa	Point(20.250555555 -34.554722222)
http://www.wikidata.org/entity/Q17512364	Antonio Bautista Air Base	RPVP	Philippines	Point(118.759 9.74222)
http://www.wikidata.org/entity/Q17516184	Estación aérea n.° 8 Loma Bonita	MX67	Mexico	Point(-95.8536 18.0233)
http://www.wikidata.org/entity/Q17538851	Tulum Airbase	MMTU	Mexico	Point(-87.4382 20.2273)
http://www.wikidata.org/entity/Q17770259	Evenes airbase	ENEV	Norway	Point(16.694722 68.482222)
http://www.wikidata.org/entity/Q18169168	Aeropista Teniente Vega	MM31	Mexico	Point(-97.3763 20.9454)
http://www.wikidata.org/entity/Q18195863	Mollis Airfield	LSZM	Switzerland	Point(9.065 47.079166666)
http://www.wikidata.org/entity/Q18206746	Edwin Andrews Air Base	RPMZ	Philippines	Point(122.06 6.9225)
http://www.wikidata.org/entity/Q18210886	Remada Air Base	DTTD	Tunisia	Point(10.382108 32.306155)
http://www.wikidata.org/entity/Q18214069	Aix-Les-Milles Air Base	LFMA	France	Point(5.36841 43.504)
http://www.wikidata.org/entity/Q18332893	Stockholm-Gärdet heliport	ESHT	Sweden	Point(18.103888888 59.340555555)
